timestamp,value
us-ca 2018-01-31T02:25:00Z,18.95
us-ca 2018-01-31T02:26:00Z,19.78
us-ca 2018-01-31T02:27:00Z,18.82
us-ca 2018-01-31T02:28:00Z,19.35
us-ca 2018-01-31T02:29:00Z,19.17
us-ca 2018-01-31T02:30:00Z,18.34
us-ca 2018-01-31T02:31:00Z,19.38
us-ca 2018-01-31T02:32:00Z,19.57
us-ca 2018-01-31T02:33:00Z,18.54
us-ca 2018-01-31T02:34:00Z,21.78
us-ca 2018-01-31T02:35:00Z,21.46
us-ca 2018-01-31T02:36:00Z,18.67
us-ca 2018-01-31T02:37:00Z,20.15
us-ca 2018-01-31T02:38:00Z,18.15
us-ca 2018-01-31T02:39:00Z,19.71
us-ca 2018-01-31T02:40:00Z,19.31
us-ca 2018-01-31T02:41:00Z,18.44
us-ca 2018-01-31T02:42:00Z,18.2
us-ca 2018-01-31T02:43:00Z,19.01
us-ca 2018-01-31T02:44:00Z,18.42
us-ca 2018-01-31T02:45:00Z,17.94
us-ca 2018-01-31T02:46:00Z,19.68
us-ca 2018-01-31T02:47:00Z,21.37
us-ca 2018-01-31T02:48:00Z,18.56
us-ca 2018-01-31T02:49:00Z,15.78
us-ca 2018-01-31T02:50:00Z,14.74
us-ca 2018-01-31T02:51:00Z,15.78
us-ca 2018-01-31T02:52:00Z,17.36
us-ca 2018-01-31T02:53:00Z,16.42
us-ca 2018-01-31T02:54:00Z,15.69
us-ca 2018-01-31T02:55:00Z,15.79
us-ca 2018-01-31T02:56:00Z,17.81
us-ca 2018-01-31T02:57:00Z,24.81
us-ca 2018-01-31T02:58:00Z,22.98
us-ca 2018-01-31T02:59:00Z,24.99
us-ca 2018-01-31T03:00:00Z,19.61
us-ca 2018-01-31T03:01:00Z,20.45
us-ca 2018-01-31T03:02:00Z,18.66
us-ca 2018-01-31T03:03:00Z,18.29
us-ca 2018-01-31T03:04:00Z,18.11
us-ca 2018-01-31T03:05:00Z,16.69
us-ca 2018-01-31T03:06:00Z,14.92
us-ca 2018-01-31T03:07:00Z,18.25
us-ca 2018-01-31T03:08:00Z,18.28
us-ca 2018-01-31T03:09:00Z,17.2
us-ca 2018-01-31T03:10:00Z,17.74
us-ca 2018-01-31T03:11:00Z,15.42
us-ca 2018-01-31T03:12:00Z,17.44
us-ca 2018-01-31T03:13:00Z,17.7
us-ca 2018-01-31T03:14:00Z,18.27
us-ca 2018-01-31T03:15:00Z,16.9
us-ca 2018-01-31T03:16:00Z,17.76
us-ca 2018-01-31T03:17:00Z,16.08
us-ca 2018-01-31T03:18:00Z,17.4
us-ca 2018-01-31T03:19:00Z,16.42
us-ca 2018-01-31T03:20:00Z,15.82
us-ca 2018-01-31T03:21:00Z,16.36
us-ca 2018-01-31T03:22:00Z,17.49
us-ca 2018-01-31T03:23:00Z,14.23
us-ca 2018-01-31T03:24:00Z,14.71
us-ca 2018-01-31T03:25:00Z,14.49
us-ca 2018-01-31T03:26:00Z,18.06
us-ca 2018-01-31T03:27:00Z,17.7
us-ca 2018-01-31T03:28:00Z,18.44
us-ca 2018-01-31T03:29:00Z,20.29
us-ca 2018-01-31T03:30:00Z,19.72
us-co 2018-01-31T02:10:00Z,29.14
us-co 2018-01-31T02:11:00Z,29.52
us-co 2018-01-31T02:12:00Z,32.36
us-co 2018-01-31T02:13:00Z,29.14
us-co 2018-01-31T02:14:00Z,25.36
us-co 2018-01-31T02:15:00Z,25.32
us-co 2018-01-31T02:16:00Z,24.51
us-co 2018-01-31T02:17:00Z,25.51
us-co 2018-01-31T02:18:00Z,28.52
us-co 2018-01-31T02:19:00Z,25.7
us-co 2018-01-31T02:20:00Z,30.48
us-co 2018-01-31T02:21:00Z,29.17
us-co 2018-01-31T02:22:00Z,24.95
us-co 2018-01-31T02:23:00Z,25.8
us-co 2018-01-31T02:24:00Z,25.98
us-co 2018-01-31T02:25:00Z,23.84
us-co 2018-01-31T02:26:00Z,23.87
us-co 2018-01-31T02:27:00Z,26.15
